Tanggal,Total Discarded,Discarded-IRS,Discarded-IR,Discarded-Meninggal,Discarded-Selesai Isolasi,Total Kontak Erat,Kontak Erat-IRS,Kontak Erat-IR,Kontak Erat-Meninggal,Kontak Erat- Selesai Isolasi,Total Pelaku Perjalanan,Pelaku Perjalanan-IRS,Pelaku Perjalanan-IR,Pelaku Perjalanan-Meninggal,Pelaku Perjalanan-Selesai Isolasi,Total Probable,Probable-IRS,Probable-IR,Probable-Meninggal,Probable-Selesai Isolasi,Total Suspek,Suspek-IRS,Suspek-IR,Suspek-Meninggal,Suspek-Selesai Isolasi,GRAND TOTAL Data-Suspek
17-Jul-20,5712,,,,5712,78725,,5191,,73534,1794,,41,,1753,42,1,,4,37,51507,981,504,2194,47828,137780
18-Jul-20,5713,,,,5713,80382,,6531,,73851,1803,,45,,1758,42,,,4,38,52081,780,584,2194,48523,140021
19-Jul-20,5713,,,,5713,81327,,7372,,73955,1803,,45,,1758,42,,,4,38,52586,1136,610,2194,48646,141471
20-Jul-20,5713,,,,5713,81739,,5547,,76192,1809,,36,,1773,42,,,4,38,52714,1067,602,2194,48851,142017
21-Jul-20,5643,,,,5643,82860,,5934,,76926,1824,,46,,1778,42,,,4,38,52957,1158,725,2194,48880,143326
22-Jul-20,5591,,,,5591,84560,,7159,,77401,1838,,57,,1781,42,,,4,38,53317,1379,877,2194,48867,145348
23-Jul-20,5591,,,,5591,86226,,8411,,77815,1870,,89,,1781,42,,,4,38,53829,1608,1144,2194,48883,147558
24-Jul-20,5591,,,,5591,88164,,8757,,79407,1898,,94,,1804,42,,,4,38,54401,1860,1440,2194,48907,150096
25-Jul-20,5591,,,,5591,89710,,10002,,79708,1923,,106,,1817,42,,,4,38,55104,2070,1747,2194,49093,152370
26-Jul-20,5818,,,1,5817,89951,,9666,,80285,1928,,106,,1822,313,,,275,38,55366,1557,1434,2226,50149,153376
27-Jul-20,5818,,,1,5817,90652,,9452,,81200,1931,,106,,1825,314,,,276,38,55673,1563,1472,2226,50412,154388
28-Jul-20,5818,,,1,5817,92456,,9901,,82555,1944,,113,,1831,314,,,276,38,56476,1546,1805,2226,50899,157008
29-Jul-20,5818,,,1,5817,93944,,10371,,83573,1968,,129,,1839,328,,,290,38,57267,1585,2067,2226,51389,159325
30-Jul-20,5818,,,1,5817,95827,,10663,,85164,1999,,143,,1856,600,,,562,38,58164,1585,2322,2226,52031,162408
31-Jul-20,5818,,,1,5817,96920,,10389,,86531,2004,,134,,1870,628,,,590,38,58603,1617,2229,2226,52531,163973
1-Aug-20,5871,,,1,5870,97630,,10873,,86757,2009,,137,,1872,628,,,590,38,58891,1656,2342,2226,52667,165029
2-Aug-20,6014,,,1,6013,97755,,10747,,87008,2009,,136,,1873,628,,,590,38,59795,1974,2523,2226,53072,166201
3-Aug-20,6014,,,1,6013,97872,,9436,,88436,2009,,123,,1886,644,,,606,38,60656,1841,3070,2226,53519,167195
4-Aug-20,6014,,,1,6013,99037,,9278,,89759,2024,,125,,1899,718,,,680,38,61131,1854,3021,2258,53998,168924
5-Aug-20,6014,,,1,6013,100777,,9281,,91496,2060,,120,,1940,746,,,708,38,61794,1941,2989,2258,54606,171391
6-Aug-20,6014,,,1,6013,102537,,9517,,93020,2082,,126,,1956,746,,,708,38,62242,1787,2754,2258,55443,173621
7-Aug-20,6014,,,1,6013,104170,,9597,,94573,2104,,108,,1996,760,,,722,38,62717,1573,2541,2258,56345,175765
8-Aug-20,6014,,,1,6013,105713,,10770,,94943,2120,,119,,2001,764,,,726,38,63407,1549,2953,2258,56647,178018
9-Aug-20,6014,,,1,6013,105884,,10769,,95115,2129,,128,,2001,769,2,,729,38,64500,1483,3935,2258,56824,179296
10-Aug-20,6014,,,1,6013,106440,,9906,,96534,2131,,117,,2014,770,2,,730,38,64941,1722,3318,2258,57643,180296
11-Aug-20,6014,,,1,6013,108116,,9893,,98223,2165,,108,,2057,854,2,,814,38,65563,1573,3205,2258,58527,182712
12-Aug-20,6014,,,1,6013,109769,,9766,,100003,2198,,118,,2080,875,2,,835,38,66117,1411,2991,2258,59457,184973
13-Aug-20,6014,,,1,6013,111003,,9508,,101495,2210,,115,,2095,895,2,,855,38,66656,1221,2987,2258,60190,186778
14-Aug-20,6014,,,1,6013,112430,,10781,,101649,2233,,134,,2099,913,2,,873,38,67288,1387,3182,2266,60453,188878
15-Aug-20,6014,,,1,6013,113694,,11862,,101832,2274,,174,,2100,913,2,,873,38,67827,1455,3411,2266,60695,190722
16-Aug-20,6014,,,1,6013,114978,,12775,,102203,2279,,177,,2102,914,1,1,874,38,68741,1987,3431,2267,61056,192926
17-Aug-20,6014,,,1,6013,116142,,12393,,103749,2281,,166,,2115,914,1,1,874,38,69405,2117,3440,2267,61581,194756
18-Aug-20,6014,,,1,6013,118242,,13228,,105014,2281,,143,,2138,915,2,,875,38,70590,2221,4085,2267,62017,198042
19-Aug-20,6014,,,1,6013,119803,,13214,,106589,2305,,146,,2159,997,4,,949,44,71215,2405,3961,2251,62598,200334
20-Aug-20,6065,,,1,6064,120905,,12323,,108582,2315,,128,,2187,1055,8,,990,57,71807,2419,3723,2267,63398,202147
21-Aug-20,6068,,,1,6067,122832,,12706,,110126,2316,,107,,2209,1057,9,,990,58,73324,2474,4063,2267,64520,205597
