Tanggal,Jumlah Orang di Test,Orang Positif Harian,Positivity Rate Kasus Baru Harian,Total Spesimen di Test,Positif,Positivity Rate Spesimen Harian,V1 usia_atas,V2 usia_atas,V1 usia_tengah,V2 usia_tengah,V1 usia_muda,V2 usia_muda
2020-03-01,39.0,0.0,0.00%,39.0,0.0,0.0%,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-02,3.0,0.0,0.00%,3.0,0.0,0.0%,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-03,15.0,3.0,20.00%,15.0,3.0,20.0%,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-04,7.0,0.0,0.00%,7.0,0.0,0.0%,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-05,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-06,5.0,0.0,0.00%,5.0,0.0,0.0%,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-07,26.0,0.0,0.00%,26.0,0.0,0.0%,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-08,56.0,1.0,1.80%,56.0,0.0,0.0%,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-09,73.0,27.0,37.00%,73.0,25.0,34.2%,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-10,52.0,2.0,3.80%,52.0,0.0,0.0%,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-11,48.0,26.0,54.20%,48.0,3.0,6.3%,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-12,56.0,10.0,17.90%,56.0,23.0,41.1%,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-13,30.0,7.0,23.30%,30.0,10.0,33.3%,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-14,44.0,16.0,36.40%,44.0,3.0,6.8%,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-15,41.0,2.0,4.90%,41.0,15.0,36.6%,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-16,47.0,25.0,53.20%,47.0,2.0,4.3%,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-17,104.0,38.0,36.50%,104.0,26.0,25.0%,0.0,0.0,0.0,0.0,0.0,0.0
