Tanggal,Jumlah Orang di Test,Orang Positif Harian,Orang Negatif Harian,Positivity Rate Kasus Baru Harian,Total Spesimen di Test,Positif,Negatif,Positivity Rate Spesimen Harian,TV Nakes,V1 Nakes,V2 Nakes,P1 Nakes,P2 Nakes,TV Lansia,V1 Lansia,V2 Lansia,P1 Lansia,P2 Lansia,TV MU,V1 MU,V2 MU,P1 MU,P2 MU,TV DKI Total,V1 DKI Total,V2 DKI Total,P1 DKI Total,P2 DKI total,V1H,V2H,TV usia_atas,V1 usia_atas,V2 usia_atas,P1 usia_atas,P2 usia_atas,TV usia_tengah,V1 usia_tengah,V2 usia_tengah,P1 usia_tengah,P2 usia_tengah,TV usia_muda,V1 usia_muda,V2 usia_muda,P1 usia_muda,P2 usia_muda,PVJ D1,PVJ D2,VGR V1,VGR V2,V3 Nakes,V3 MU,V3 Lansia,V4 Nakes ,V4 MU,V4 Lansia
2021-03-05,8787,1616,7171,0.184,11875,3639,8236,0.306,112301.0,141425.0,91078.0,125.90%,81.10%,911631.0,76451.0,0.0,8.39%,0.00%,1976757.0,64121.0,0.0,3.20%,0.00%,3000689.0,281997.0,91078.0,9.40%,3.00%,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0,0.0,0
2021-03-06,8261,1834,6427,0.222,10327,3116,7211,0.302,112301.0,144046.0,91379.0,128.30%,81.40%,911631.0,79421.0,0.0,8.71%,0.00%,1976757.0,66484.0,0.0,3.40%,0.00%,3000689.0,289951.0,91379.0,9.70%,3.00%,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0,0.0,0
2021-03-07,11041,1783,9258,0.161,5460,1356,4104,0.248,112301.0,177126.0,91460.0,157.70%,81.40%,911631.0,83628.0,0.0,9.17%,0.00%,1976757.0,73752.0,2514.0,3.70%,0.10%,3000689.0,334506.0,93974.0,11.10%,3.10%,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0,0.0,0
2021-03-08,12172,867,11305,0.071,15215,3357,11858,0.221,112301.0,181237.0,92988.0,161.40%,82.80%,911631.0,95140.0,1.0,10.44%,0.00%,1976757.0,85333.0,3989.0,4.30%,0.20%,3000689.0,361710.0,96978.0,12.10%,3.20%,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0,0.0,0
2021-03-09,13813,1040,12773,0.075,17709,4373,13336,0.247,112301.0,113326.0,89984.0,100.90%,80.10%,911631.0,135128.0,675.0,14.82%,0.07%,1976757.0,174685.0,29195.0,8.80%,1.50%,3000689.0,423139.0,119854.0,14.10%,4.00%,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0,0.0,0
2021-03-10,14611,1754,12857,0.12,18264,4302,13962,0.23600000000000002,112301.0,116791.0,90681.0,104.00%,80.70%,911631.0,154251.0,1100.0,16.92%,0.12%,1976757.0,202452.0,17773.0,10.20%,0.90%,3000689.0,473494.0,109554.0,15.80%,3.70%,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0,0.0,0
2021-03-11,12062,1873,10189,0.155,13865,2586,11279,0.187,112301.0,116823.0,90693.0,104.00%,80.80%,911631.0,154915.0,1103.0,16.99%,0.12%,1976757.0,211754.0,17903.0,10.70%,0.90%,3000689.0,483492.0,109699.0,16.10%,3.70%,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0,0.0,0
2021-03-12,11376,1034,10342,0.091,14220,3237,10983,0.228,112301.0,118086.0,91521.0,105.20%,81.50%,911631.0,167086.0,1291.0,18.33%,0.14%,1976757.0,234403.0,20226.0,11.90%,1.00%,3000689.0,519575.0,113038.0,17.30%,3.80%,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0,0.0,0
2021-03-13,11932,1204,10728,0.10099999999999999,15700,4613,11087,0.294,112301.0,118283.0,91748.0,105.30%,81.70%,911631.0,174327.0,1444.0,19.12%,0.16%,1976757.0,245355.0,21272.0,12.40%,1.10%,3000689.0,537965.0,114464.0,17.90%,3.80%,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0,0.0,0
2021-03-14,9342,1555,7787,0.166,10739,1956,8783,0.182,112301.0,118301.0,91764.0,105.30%,81.70%,911631.0,179024.0,1444.0,19.64%,0.16%,1976757.0,252763.0,21413.0,12.80%,1.10%,3000689.0,550088.0,114621.0,18.30%,3.80%,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0,0.0,0
2021-03-15,15239,835,14404,0.055,19049,3952,15097,0.207,112301.0,118983.0,92579.0,106.00%,82.40%,911631.0,197743.0,1620.0,21.69%,0.18%,1976757.0,282970.0,29871.0,14.30%,1.50%,3000689.0,599696.0,124070.0,20.00%,4.10%,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0,0.0,0
2021-03-16,13736,1330,12406,0.09699999999999999,19623,6834,12789,0.348,112301.0,119531.0,93559.0,106.40%,83.30%,911631.0,216011.0,1754.0,23.70%,0.19%,1976757.0,312415.0,43891.0,15.80%,2.20%,3000689.0,647957.0,139204.0,21.60%,4.60%,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0,0.0,0
2021-03-17,15107,1719,13388,0.114,18884,4075,14809,0.21600000000000003,112301.0,120003.0,94619.0,106.90%,84.30%,911631.0,236230.0,1963.0,25.91%,0.22%,1976757.0,336132.0,63154.0,17.00%,3.20%,3000689.0,692365.0,159736.0,23.10%,5.30%,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0,0.0,0
