Tanggal,Jumlah Laporan Pemakaman,Akumulasi Pemakaman,Harian Pemakaman Umum,Total Pemakaman Umum
1/3/2020,0,0,150,150
2/3/2020,0,0,136,286
3/3/2020,0,0,135,421
4/3/2020,0,0,116,537
5/3/2020,0,0,124,661
6/3/2020,1,1,158,819
7/3/2020,0,1,144,963
8/3/2020,0,1,106,1069
9/3/2020,0,1,145,1214
10/3/2020,0,1,146,1360
11/3/2020,0,1,148,1508
12/3/2020,1,2,154,1662
13/03/2020,2,4,124,1786
14/03/2020,2,6,162,1948
15/03/2020,0,6,119,2067
16/03/2020,4,10,128,2195
17/03/2020,4,14,135,2330
18/03/2020,8,22,122,2452
19/03/2020,7,29,108,2560
20/03/2020,8,37,138,2698
21/03/2020,10,47,118,2816
22/03/2020,18,65,150,2966
23/03/2020,22,87,151,3117
24/03/2020,20,107,119,3236
25/03/2020,33,140,160,3396
26/03/2020,35,175,117,3513
27/03/2020,31,206,150,3663
28/03/2020,30,236,141,3804
29/03/2020,47,283,153,3957
30/03/2020,33,316,140,4097
31/03/2020,38,354,148,4245
1/4/2020,47,401,171,4416
2/4/2020,53,454,178,4594
3/4/2020,50,504,143,4737
4/4/2020,44,548,151,4888
5/4/2020,48,596,160,5048
6/4/2020,48,644,179,5227
7/4/2020,53,697,159,5386
8/4/2020,54,751,157,5543
9/4/2020,47,798,134,5677
10/4/2020,37,835,152,5829
11/4/2020,39,874,148,5977
12/4/2020,52,926,147,6124
13/04/2020,40,966,173,6297
14/04/2020,46,1012,167,6464
15/04/2020,31,1043,143,6607
16/04/2020,32,1075,172,6779
17/04/2020,42,1117,145,6924
18/04/2020,47,1164,144,7068
19/04/2020,29,1193,136,7204
20/04/2020,36,1229,163,7367
21/04/2020,38,1267,153,7520
22/04/2020,49,1316,179,7699
23/04/2020,45,1361,169,7868
24/04/2020,40,1401,149,8017
25/04/2020,44,1445,186,8203
26/04/2020,27,1472,155,8358
27/04/2020,38,1510,140,8498
28/04/2020,38,1548,124,8622
29/04/2020,25,1573,110,8732
30/04/2020,22,1595,125,8857
1/5/2020,35,1630,125,8982
2/5/2020,47,1677,149,9131
3/5/2020,26,1703,129,9260
4/5/2020,36,1739,162,9422
5/5/2020,36,1775,145,9567
6/5/2020,35,1810,132,9699
7/5/2020,28,1838,139,9838
8/5/2020,35,1873,160,9998
9/5/2020,30,1903,139,10137
10/5/2020,35,1938,152,10289
11/5/2020,27,1965,112,10401
12/5/2020,32,1997,139,10540
13/05/2020,38,2035,165,10705
14/05/2020,32,2067,147,10852
15/05/2020,28,2095,154,11006
16/05/2020,37,2132,164,11170
17/05/2020,34,2166,171,11341
18/05/2020,30,2196,128,11469
19/05/2020,30,2226,144,11613
20/05/2020,24,2250,138,11751
21/05/2020,20,2270,139,11890
22/05/2020,18,2288,119,12009
23/05/2020,21,2309,132,12141
24/05/2020,20,2329,126,12267
25/05/2020,20,2349,165,12432
26/05/2020,38,2387,166,12598
27/05/2020,24,2411,154,12752
28/05/2020,22,2433,147,12899
29/05/2020,20,2453,155,13054
30/05/2020,20,2473,132,13186
31/05/2020,14,2487,126,13312
1/6/2020,17,2504,126,13438
2/6/2020,19,2523,138,13576
3/6/2020,23,2546,145,13721
4/6/2020,24,2570,138,13859
5/6/2020,18,2588,125,13984
6/6/2020,21,2609,149,14133
7/6/2020,19,2628,127,14260
8/6/2020,21,2649,131,14391
9/6/2020,22,2671,127,14518
10/6/2020,15,2686,132,14650
11/6/2020,15,2701,116,14766
12/6/2020,21,2722,133,14899
13/06/2020,17,2739,126,15025
14/06/2020,30,2769,129,15154
15/06/2020,17,2786,145,15299
16/06/2020,10,2796,145,15444
17/06/2020,22,2818,150,15594
18/06/2020,16,2834,135,15729
19/06/2020,15,2849,119,15848
20/06/2020,25,2874,125,15973
21/06/2020,18,2892,120,16093
22/06/2020,28,2920,124,16217
23/06/2020,27,2947,123,16340
24/06/2020,12,2959,129,16469
25/06/2020,12,2971,125,16594
26/06/2020,25,2996,148,16742
27/06/2020,19,3015,144,16886
28/06/2020,20,3035,128,17014
29/06/2020,18,3053,126,17140
30/06/2020,9,3062,147,17287
1/7/2020,21,3083,139,17426
2/7/2020,21,3104,122,17548
3/7/2020,12,3116,117,17665
4/7/2020,19,3135,142,17807
5/7/2020,21,3156,116,17923
6/7/2020,20,3176,127,18050
7/7/2020,15,3191,112,18162
8/7/2020,17,3208,145,18307
9/7/2020,22,3230,126,18433
10/7/2020,21,3251,118,18551
11/7/2020,21,3272,146,18697
12/7/2020,20,3292,139,18836
13/07/2020,20,3312,132,18968
14/07/2020,14,3326,146,19114
15/07/2020,19,3345,137,19251
16/07/2020,14,3359,111,19362
17/07/2020,15,3374,131,19493
18/07/2020,24,3398,150,19643
19/07/2020,15,3413,123,19766
20/07/2020,23,3436,151,19917
21/07/2020,20,3456,152,20069
22/07/2020,21,3477,132,20201
23/07/2020,21,3498,168,20369
24/07/2020,25,3523,155,20524
25/07/2020,19,3542,140,20664
26/07/2020,23,3565,117,20781
27/07/2020,24,3589,143,20924
28/07/2020,30,3619,144,21068
29/07/2020,27,3646,147,21215
30/07/2020,20,3666,141,21356
31/07/2020,26,3692,152,21508
1/8/2020,31,3723,151,21659
2/8/2020,39,3762,141,21800
3/8/2020,25,3787,129,21929
4/8/2020,34,3821,152,22081
5/8/2020,36,3857,138,22219
6/8/2020,20,3877,130,22349
7/8/2020,36,3913,159,22508
8/8/2020,29,3942,162,22670
9/8/2020,35,3977,145,22815
10/8/2020,40,4017,167,22982
11/8/2020,36,4053,136,23118
12/8/2020,34,4087,150,23268
13/08/2020,34,4121,149,23417
14/08/2020,43,4164,152,23569
15/08/2020,30,4194,150,23719
16/08/2020,41,4235,143,23862
17/08/2020,39,4274,157,24019
18/08/2020,31,4305,145,24164
19/08/2020,35,4340,147,24311
20/08/2020,35,4375,168,24479
21/08/2020,37,4412,160,24639
22/08/2020,42,4454,157,24796
23/08/2020,37,4491,139,24935
24/08/2020,47,4538,162,25097
25/08/2020,38,4576,161,25258
26/08/2020,42,4618,167,25425
27/08/2020,50,4668,165,25590
28/08/2020,37,4705,180,25770
29/08/2020,54,4759,152,25922
30/08/2020,59,4818,227,26149
31/08/2020,57,4875,166,26315
1/9/2020,47,4922,281,26596
2/9/2020,60,4982,181,26777
3/9/2020,50,5032,155,26932
4/9/2020,52,5084,176,27108
5/9/2020,66,5150,216,27324
6/9/2020,50,5200,183,27507
7/9/2020,45,5245,160,27667
8/9/2020,46,5291,189,27856
9/9/2020,48,5339,205,28061
10/9/2020,60,5399,214,28275
11/9/2020,57,5456,186,28461
12/9/2020,47,5503,189,28650
13/09/2020,54,5557,158,28808
14/09/2020,52,5609,198,29006
15/09/2020,64,5673,189,29195
16/09/2020,67,5740,161,29356
17/09/2020,62,5802,178,29534
18/09/2020,65,5867,172,29706
19/09/2020,64,5931,205,29911
20/09/2020,52,5983,175,30086
21/09/2020,53,6036,164,30250
22/09/2020,55,6091,133,30383
23/09/2020,51,6142,199,30582
24/09/2020,66,6208,163,30745
25/09/2020,72,6280,192,30937
26/09/2020,50,6330,194,31131
27/09/2020,59,6389,193,31324
28/09/2020,52,6441,143,31467
29/09/2020,52,6493,159,31626
30/09/2020,41,6534,181,31807
1/10/2020,48,6582,180,31987
2/10/2020,61,6643,190,32177
3/10/2020,41,6684,163,32340
4/10/2020,54,6738,178,32518
5/10/2020,43,6781,150,32668
6/10/2020,41,6822,139,32807
7/10/2020,48,6870,152,32959
8/10/2020,39,6909,160,33119
9/10/2020,42,6951,152,33271
10/10/2020,44,6995,154,33425
