Tanggal,TV Nakes,V1 Nakes,V2 Nakes,P1 Nakes,P2 Nakes,TV Lansia,V1 Lansia,V2 Lansia,P1 Lansia,P2 Lansia,TV MU,V1 MU,V2 MU,P1 MU,P2 MU,TV DKI Total,V1 DKI Total,V2 DKI Total,P1 DKI Total,P2 DKI total,V1H,V2H,TV usia_atas,V1 usia_atas,V2 usia_atas,P1 usia_atas,P2 usia_atas,TV usia_tengah,V1 usia_tengah,V2 usia_tengah,P1 usia_tengah,P2 usia_tengah,TV usia_muda,V1 usia_muda,V2 usia_muda,P1 usia_muda,P2 usia_muda,PVJ D1,PVJ D2,VGR V1,VGR V2,V3 Nakes,V3 MU,V3 Lansia,V4 Nakes ,V4 MU,V4 Lansia
5-Mar-21,112301,141425,91078,125.90%,81.10%,911631,76451,0,8.39%,0.00%,1976757,64121,0,3.20%,0.00%,3000689,281997,91078,9.40%,3.00%,,,,,,,,,,,,,,,,,,,,0,0,,,,,,
6-Mar-21,112301,144046,91379,128.30%,81.40%,911631,79421,0,8.71%,0.00%,1976757,66484,0,3.40%,0.00%,3000689,289951,91379,9.70%,3.00%,,,,,,,,,,,,,,,,,,,,0,0,,,,,,
7-Mar-21,112301,177126,91460,157.70%,81.40%,911631,83628,0,9.17%,0.00%,1976757,73752,2514,3.70%,0.10%,3000689,334506,93974,11.10%,3.10%,,,,,,,,,,,,,,,,,,,,0,0,,,,,,
8-Mar-21,112301,181237,92988,161.40%,82.80%,911631,95140,1,10.44%,0.00%,1976757,85333,3989,4.30%,0.20%,3000689,361710,96978,12.10%,3.20%,,,,,,,,,,,,,,,,,,,,0,0,,,,,,
9-Mar-21,112301,113326,89984,100.90%,80.10%,911631,135128,675,14.82%,0.07%,1976757,174685,29195,8.80%,1.50%,3000689,423139,119854,14.10%,4.00%,,,,,,,,,,,,,,,,,,,,0,0,,,,,,
10-Mar-21,112301,116791,90681,104.00%,80.70%,911631,154251,1100,16.92%,0.12%,1976757,202452,17773,10.20%,0.90%,3000689,473494,109554,15.80%,3.70%,,,,,,,,,,,,,,,,,,,,0,0,,,,,,
11-Mar-21,112301,116823,90693,104.00%,80.80%,911631,154915,1103,16.99%,0.12%,1976757,211754,17903,10.70%,0.90%,3000689,483492,109699,16.10%,3.70%,,,,,,,,,,,,,,,,,,,,0,0,,,,,,
12-Mar-21,112301,118086,91521,105.20%,81.50%,911631,167086,1291,18.33%,0.14%,1976757,234403,20226,11.90%,1.00%,3000689,519575,113038,17.30%,3.80%,,,,,,,,,,,,,,,,,,,,0,0,,,,,,
13-Mar-21,112301,118283,91748,105.30%,81.70%,911631,174327,1444,19.12%,0.16%,1976757,245355,21272,12.40%,1.10%,3000689,537965,114464,17.90%,3.80%,,,,,,,,,,,,,,,,,,,,0,0,,,,,,
14-Mar-21,112301,118301,91764,105.30%,81.70%,911631,179024,1444,19.64%,0.16%,1976757,252763,21413,12.80%,1.10%,3000689,550088,114621,18.30%,3.80%,,,,,,,,,,,,,,,,,,,,0,0,,,,,,
15-Mar-21,112301,118983,92579,106.00%,82.40%,911631,197743,1620,21.69%,0.18%,1976757,282970,29871,14.30%,1.50%,3000689,599696,124070,20.00%,4.10%,,,,,,,,,,,,,,,,,,,,0,0,,,,,,
16-Mar-21,112301,119531,93559,106.40%,83.30%,911631,216011,1754,23.70%,0.19%,1976757,312415,43891,15.80%,2.20%,3000689,647957,139204,21.60%,4.60%,,,,,,,,,,,,,,,,,,,,0,0,,,,,,
17-Mar-21,112301,120003,94619,106.90%,84.30%,911631,236230,1963,25.91%,0.22%,1976757,336132,63154,17.00%,3.20%,3000689,692365,159736,23.10%,5.30%,,,,,,,,,,,,,,,,,,,,0,0,,,,,,
18-Mar-21,112301,120608,99980,107.40%,89.00%,911631,257159,2040,28.21%,0.22%,1976757,356592,82412,18.00%,4.20%,3000689,734359,184432,24.50%,6.10%,,,,,,,,,,,,,,,,,,,,0,0,,,,,,
19-Mar-21,112301,121260,97465,108.00%,86.80%,911631,280221,2168,30.74%,0.24%,1976757,409121,99709,20.70%,5.00%,3000689,810602,199342,27.00%,6.60%,,,,,,,,,,,,,,,,,,,,0,0,,,,,,
20-Mar-21,112301,121373,97612,108.10%,86.90%,911631,287749,2585,31.56%,0.28%,1976757,415447,103069,21.00%,5.20%,3000689,824569,203266,27.50%,6.80%,,,,,,,,,,,,,,,,,,,,0,0,,,,,,
21-Mar-21,112301,121483,97660,108.20%,87.00%,911631,296700,2696,32.55%,0.30%,1976757,428256,103939,21.70%,5.30%,3000689,846439,204295,28.20%,6.80%,,,,,,,,,,,,,,,,,,,,0,0,,,,,,
22-Mar-21,112301,121834,98956,108.50%,88.10%,911631,314312,5263,34.48%,0.58%,1976757,443083,124036,22.40%,6.30%,3000689,879229,228255,29.30%,7.60%,,,,,,,,,,,,,,,,,,,,0,0,,,,,,
23-Mar-21,112301,122199,100218,108.80%,89.20%,911631,337760,9693,37.05%,1.06%,1976757,465428,148494,23.50%,7.50%,3000689,925387,258405,30.80%,8.60%,,,,,,,,,,,,,,,,,,,,0,0,,,,,,
24-Mar-21,112301,122616,101248,109.20%,90.20%,911631,373557,15380,40.98%,1.69%,1976757,501557,177455,25.40%,9.00%,3000689,997730,294083,33.30%,9.80%,,,,,,,,,,,,,,,,,,,,0,0,,,,,,
25-Mar-21,112301,122916,101602,109.50%,90.50%,911631,394412,22109,43.26%,2.43%,1976757,529155,187424,26.80%,9.50%,3000689,1046483,311135,34.90%,10.40%,,,,,,,,,,,,,,,,,,,,0,0,,,,,,
26-Mar-21,112301,123199,102584,109.70%,91.30%,911631,414506,29341,45.47%,3.22%,1976757,554981,211347,28.10%,10.70%,3000689,1092686,343272,36.40%,11.40%,,,,,,,,,,,,,,,,,,,,0,0,,,,,,
27-Mar-21,112301,123199,102672,109.70%,91.40%,911631,425054,31070,46.63%,3.41%,1976757,573482,217379,29.00%,11.00%,3000689,1121735,351121,37.40%,11.70%,,,,,,,,,,,,,,,,,,,,0,0,,,,,,
28-Mar-21,112301,123199,102692,109.70%,91.40%,911631,431190,31149,47.30%,3.42%,1976757,585999,219264,29.60%,11.10%,3000689,1140388,353105,38.00%,11.80%,,,,,,,,,,,,,,,,,,,,0,0,,,,,,
29-Mar-21,112301,123199,103537,109.70%,92.20%,911631,444817,42494,48.79%,4.66%,1976757,610227,242034,30.90%,12.20%,3000689,1178243,388065,39.30%,12.90%,,,,,,,,,,,,,,,,,,,,0,0,,,,,,
30-Mar-21,112301,123199,104246,109.70%,92.80%,911631,460787,54834,50.55%,6.01%,1976757,636631,266245,32.20%,13.50%,3000689,1220617,425325,40.70%,14.20%,,,,,,,,,,,,,,,,,,,,0,0,,,,,,
31-Mar-21,112301,123199,104773,109.70%,93.30%,911631,475190,66739,52.13%,7.32%,1976757,668989,287470,33.80%,14.50%,3000689,1267378,458982,42.20%,15.30%,,,,,,,,,,,,,,,,,,,,0,0,,,,,,
1-Apr-21,112301,124396,107368,110.80%,95.60%,911631,477295,77431,52.36%,8.49%,1976757,699688,300935,35.40%,15.20%,3000689,1301379,485734,43.40%,16.20%,,,,,,,,,,,,,,,,,,,,0,0,,,,,,
